date,daily_qty
2023-07-15,598.34
2023-07-16,506.1
2023-07-17,415.34000000000003
2023-07-18,490.36
2023-07-19,486.52
2023-07-20,505.51
2023-07-21,573.26
2023-07-22,527.4300000000001
2023-07-23,505.24
2023-07-24,469.54999999999995
2023-07-25,483.72
2023-07-26,459.58
2023-07-27,464.11
2023-07-28,450.85
2023-07-29,607.38
2023-07-30,577.02
2023-07-31,470.85
2023-08-01,436.0
2023-08-02,522.8299999999999
2023-08-03,505.17
2023-08-04,493.94
2023-08-05,554.75
2023-08-06,528.75
2023-08-07,396.59000000000003
2023-08-08,463.58000000000004
2023-08-09,496.29
2023-08-10,516.24
2023-08-11,485.96000000000004
2023-08-12,551.55
2023-08-13,510.07
2023-08-14,430.0
2023-08-15,430.46000000000004
2023-08-16,445.95000000000005
2023-08-17,489.68999999999994
2023-08-18,494.68
2023-08-19,575.86
2023-08-20,503.62
2023-08-21,423.68
2023-08-22,469.92
2023-08-23,423.78999999999996
2023-08-24,481.94
2023-08-25,492.08000000000004
2023-08-26,591.04
2023-08-27,529.4
2023-08-28,479.82
2023-08-29,515.59
2023-08-30,469.3
2023-08-31,437.03
2023-09-01,529.14
2023-09-02,532.57
2023-09-03,543.54
2023-09-04,423.38
2023-09-05,489.46000000000004
2023-09-06,440.09000000000003
2023-09-07,459.15999999999997
2023-09-08,496.21999999999997
2023-09-09,575.05
2023-09-10,489.77
2023-09-11,450.08000000000004
2023-09-12,436.7
2023-09-13,452.1
2023-09-14,452.65
2023-09-15,452.08000000000004
2023-09-16,561.3299999999999
2023-09-17,527.87
2023-09-18,376.41
2023-09-19,449.09000000000003
2023-09-20,391.12
2023-09-21,502.94
2023-09-22,542.53
2023-09-23,496.99
2023-09-24,530.39
2023-09-25,417.64
2023-09-26,446.67
2023-09-27,422.22
2023-09-28,431.88
2023-09-29,529.27
2023-09-30,507.69
2023-10-01,466.77
2023-10-02,442.21000000000004
2023-10-03,433.26
2023-10-04,418.59
2023-10-05,432.51
2023-10-06,455.58
2023-10-07,513.55
2023-10-08,550.16
2023-10-09,445.23
2023-10-10,440.16999999999996
2023-10-11,485.56
2023-10-12,561.78
2023-10-13,514.0699999999999
2023-10-14,534.57
2023-10-15,582.44
2023-10-16,452.52
2023-10-17,489.46000000000004
2023-10-18,490.59000000000003
2023-10-19,457.24
2023-10-20,494.36
2023-10-21,579.14
2023-10-22,514.25
2023-10-23,475.82
2023-10-24,570.25
2023-10-25,492.46000000000004
2023-10-26,461.89
2023-10-27,509.42999999999995
2023-10-28,477.88
2023-10-29,539.15
2023-10-30,423.91
2023-10-31,453.23
2023-11-01,441.63
2023-11-02,464.7
2023-11-03,503.48
2023-11-04,527.3199999999999
2023-11-05,502.51
2023-11-06,405.55
2023-11-07,522.55
2023-11-08,473.31
2023-11-09,493.28
2023-11-10,445.69
2023-11-11,507.01
2023-11-12,606.41
2023-11-13,474.30999999999995
2023-11-14,596.86
2023-11-15,465.91999999999996
2023-11-16,453.82
2023-11-17,486.68
2023-11-18,582.51
2023-11-19,535.31
2023-11-20,463.11
2023-11-21,564.74
2023-11-22,516.07
2023-11-23,578.56
2023-11-24,480.9
2023-11-25,553.5699999999999
2023-11-26,529.79
2023-11-27,459.26
2023-11-28,471.42
2023-11-29,426.03
2023-11-30,480.60999999999996
2023-12-01,543.67
2023-12-02,643.5799999999999
2023-12-03,542.01
2023-12-04,495.41999999999996
2023-12-05,478.63
2023-12-06,517.16
2023-12-07,531.36
2023-12-08,542.64
2023-12-09,571.12
2023-12-10,506.82
2023-12-11,491.0
2023-12-12,473.90999999999997
2023-12-13,493.18999999999994
2023-12-14,512.7
2023-12-15,529.75
2023-12-16,570.39
2023-12-17,480.37
2023-12-18,425.11
2023-12-19,431.21000000000004
2023-12-20,438.23
2023-12-21,537.99
2023-12-22,565.29
2023-12-23,560.74
2023-12-24,582.01
2023-12-25,436.54
2023-12-26,467.66
2023-12-27,488.85
2023-12-28,501.91999999999996
2023-12-29,474.96999999999997
2023-12-30,561.06
2023-12-31,523.47
2024-01-01,528.03
2024-01-02,502.73
2024-01-03,405.80999999999995
2024-01-04,551.86
2024-01-05,566.64
2024-01-06,523.71
2024-01-07,631.08
2024-01-08,403.78000000000003
2024-01-09,529.5699999999999
2024-01-10,482.99
2024-01-11,610.95
2024-01-12,545.83
2024-01-13,625.13
2024-01-14,561.22
2024-01-15,546.44
2024-01-16,527.26
2024-01-17,529.99
2024-01-18,514.8
2024-01-19,505.6
2024-01-20,515.85
2024-01-21,587.52
2024-01-22,575.92
2024-01-23,479.12
2024-01-24,480.01
2024-01-25,539.8
2024-01-26,533.01
2024-01-27,637.05
2024-01-28,568.24
2024-01-29,529.86
2024-01-30,533.19
2024-01-31,517.95
2024-02-01,497.94
2024-02-02,551.35
2024-02-03,602.46
2024-02-04,596.2
2024-02-05,523.14
2024-02-06,531.8
2024-02-07,530.37
2024-02-08,489.90999999999997
2024-02-09,529.21
2024-02-10,581.7
2024-02-11,583.96
2024-02-12,527.68
2024-02-13,536.81
2024-02-14,527.55
2024-02-15,524.35
2024-02-16,534.78
2024-02-17,553.52
2024-02-18,608.68
2024-02-19,526.36
2024-02-20,528.34
2024-02-21,534.25
2024-02-22,480.34000000000003
2024-02-23,534.05
2024-02-24,556.55
2024-02-25,553.42
2024-02-26,485.75
2024-02-27,527.24
2024-02-28,491.26
2024-02-29,488.23
2024-03-01,545.0699999999999
2024-03-02,571.1
2024-03-03,595.02
2024-03-04,515.85
2024-03-05,531.0
2024-03-06,516.21
2024-03-07,569.19
2024-03-08,484.86
2024-03-09,590.51
2024-03-10,535.43
2024-03-11,542.3299999999999
2024-03-12,533.2
2024-03-13,524.09
2024-03-14,597.86
2024-03-15,550.13
2024-03-16,615.26
2024-03-17,630.77
2024-03-18,512.06
2024-03-19,452.49
2024-03-20,527.64
2024-03-21,506.39
2024-03-22,596.27
2024-03-23,598.14
2024-03-24,496.86
2024-03-25,515.0699999999999
2024-03-26,519.95
2024-03-27,478.65
2024-03-28,531.83
2024-03-29,585.26
2024-03-30,625.62
2024-03-31,598.48
2024-04-01,528.98
2024-04-02,506.53999999999996
2024-04-03,609.41
2024-04-04,496.34000000000003
2024-04-05,559.9200000000001
2024-04-06,619.44
2024-04-07,540.85
2024-04-08,518.4300000000001
2024-04-09,497.34000000000003
2024-04-10,610.5799999999999
2024-04-11,520.7
2024-04-12,554.39
2024-04-13,551.49
2024-04-14,612.16
2024-04-15,559.67
2024-04-16,526.8299999999999
2024-04-17,541.26
2024-04-18,576.37
2024-04-19,568.99
2024-04-20,608.64
2024-04-21,572.62
2024-04-22,535.85
2024-04-23,621.22
2024-04-24,522.74
2024-04-25,582.9200000000001
2024-04-26,619.04
2024-04-27,568.52
2024-04-28,577.6
2024-04-29,498.94
2024-04-30,539.86
2024-05-01,558.95
2024-05-02,522.27
2024-05-03,576.72
2024-05-04,580.74
2024-05-05,560.88
2024-05-06,522.86
2024-05-07,489.81
2024-05-08,575.46
2024-05-09,590.28
2024-05-10,506.43
2024-05-11,633.37
2024-05-12,592.78
2024-05-13,486.38
2024-05-14,525.91
2024-05-15,564.9300000000001
2024-05-16,560.29
2024-05-17,570.46
2024-05-18,493.31000000000006
2024-05-19,551.26
2024-05-20,474.35
2024-05-21,518.27
2024-05-22,505.99
2024-05-23,535.89
2024-05-24,489.87
2024-05-25,622.03
2024-05-26,586.36
2024-05-27,502.78999999999996
2024-05-28,498.23
2024-05-29,481.38
2024-05-30,558.9
2024-05-31,541.97
2024-06-01,574.35
2024-06-02,578.86
2024-06-03,577.3199999999999
2024-06-04,523.3299999999999
2024-06-05,522.9300000000001
2024-06-06,503.03999999999996
2024-06-07,578.09
2024-06-08,551.85
2024-06-09,618.21
2024-06-10,491.14
2024-06-11,463.54
2024-06-12,454.4
2024-06-13,509.74
2024-06-14,514.3499999999999
2024-06-15,625.49
2024-06-16,555.29
2024-06-17,486.7
2024-06-18,529.78
2024-06-19,449.18
2024-06-20,492.33000000000004
2024-06-21,503.48
2024-06-22,578.53
2024-06-23,567.08
2024-06-24,493.6
2024-06-25,494.54
2024-06-26,508.34
2024-06-27,517.84
2024-06-28,551.0
2024-06-29,589.4
2024-06-30,564.8299999999999
2024-07-01,436.1
2024-07-02,415.29999999999995
2024-07-03,505.33
2024-07-04,450.35
2024-07-05,554.13
2024-07-06,550.47
2024-07-07,478.36
2024-07-08,473.39
2024-07-09,437.9
2024-07-10,489.66999999999996
2024-07-11,497.43
2024-07-12,523.55
2024-07-13,613.76
2024-07-14,546.36
2024-07-15,456.63
2024-07-16,561.45
2024-07-17,464.52
2024-07-18,515.07
2024-07-19,474.06999999999994
2024-07-20,572.99
2024-07-21,563.34
2024-07-22,514.39
2024-07-23,470.36
2024-07-24,457.93999999999994
2024-07-25,487.85
2024-07-26,468.34000000000003
2024-07-27,521.76
2024-07-28,565.23
2024-07-29,438.88
2024-07-30,527.0
2024-07-31,445.21
2024-08-01,539.59
2024-08-02,485.55000000000007
2024-08-03,531.21
2024-08-04,559.44
2024-08-05,432.26
2024-08-06,456.05
2024-08-07,468.62
2024-08-08,450.13
2024-08-09,464.14
2024-08-10,566.0
2024-08-11,459.53999999999996
2024-08-12,423.70000000000005
2024-08-13,353.86
2024-08-14,504.27
2024-08-15,437.84000000000003
2024-08-16,510.39
2024-08-17,567.75
2024-08-18,557.99
2024-08-19,450.4
2024-08-20,451.68
2024-08-21,489.95
2024-08-22,450.88
2024-08-23,469.6
2024-08-24,526.54
2024-08-25,525.36
2024-08-26,454.73
2024-08-27,515.03
2024-08-28,484.34000000000003
2024-08-29,454.96000000000004
2024-08-30,435.6
2024-08-31,560.91
2024-09-01,422.03
2024-09-02,404.44
2024-09-03,480.93
2024-09-04,482.31
2024-09-05,456.99
2024-09-06,538.37
2024-09-07,563.62
2024-09-08,538.11
2024-09-09,441.96
2024-09-10,428.75
2024-09-11,503.46
2024-09-12,438.89
2024-09-13,512.3199999999999
2024-09-14,553.14
2024-09-15,505.40999999999997
2024-09-16,456.07
2024-09-17,468.56
2024-09-18,525.59
2024-09-19,510.86
2024-09-20,473.69
2024-09-21,486.53
2024-09-22,548.12
2024-09-23,448.76
2024-09-24,442.26
2024-09-25,453.5
2024-09-26,446.01
2024-09-27,444.03000000000003
2024-09-28,496.21000000000004
2024-09-29,505.46000000000004
2024-09-30,469.28
2024-10-01,492.81
2024-10-02,479.93
2024-10-03,525.74
2024-10-04,449.82
2024-10-05,582.02
2024-10-06,501.61
2024-10-07,447.33
2024-10-08,428.15
2024-10-09,440.77
2024-10-10,465.98
2024-10-11,540.11
2024-10-12,538.11
2024-10-13,469.53
2024-10-14,461.25
2024-10-15,369.41999999999996
2024-10-16,463.16
2024-10-17,467.88
2024-10-18,478.89
2024-10-19,589.62
2024-10-20,481.87
2024-10-21,477.07000000000005
2024-10-22,437.91999999999996
2024-10-23,473.06
2024-10-24,487.39
2024-10-25,491.26
2024-10-26,554.15
2024-10-27,560.98
2024-10-28,488.77000000000004
2024-10-29,423.13
2024-10-30,505.35
2024-10-31,496.16999999999996
2024-11-01,506.08000000000004
2024-11-02,504.15
2024-11-03,445.34000000000003
2024-11-04,486.33000000000004
2024-11-05,426.08
2024-11-06,468.64
2024-11-07,430.02
2024-11-08,519.24
2024-11-09,537.51
2024-11-10,488.24
2024-11-11,411.42999999999995
2024-11-12,437.62
2024-11-13,425.43
2024-11-14,424.36
2024-11-15,491.82
2024-11-16,569.0
2024-11-17,454.16
2024-11-18,382.42999999999995
2024-11-19,501.58000000000004
2024-11-20,482.26
2024-11-21,474.71999999999997
2024-11-22,495.49
2024-11-23,522.64
2024-11-24,456.63
2024-11-25,452.66999999999996
2024-11-26,421.53000000000003
2024-11-27,476.33000000000004
2024-11-28,461.59000000000003
2024-11-29,566.55
2024-11-30,513.2
2024-12-01,535.95
2024-12-02,453.11
2024-12-03,443.78
2024-12-04,461.59
2024-12-05,446.75
2024-12-06,556.4200000000001
2024-12-07,506.14
2024-12-08,619.14
2024-12-09,469.4
2024-12-10,511.78
2024-12-11,472.01
2024-12-12,530.15
2024-12-13,541.2
2024-12-14,534.28
2024-12-15,580.03
2024-12-16,464.05
2024-12-17,466.15
2024-12-18,495.87
2024-12-19,470.18
2024-12-20,584.67
2024-12-21,569.31
2024-12-22,605.6500000000001
2024-12-23,468.99
2024-12-24,513.28
2024-12-25,483.36
2024-12-26,481.01
2024-12-27,474.34000000000003
2024-12-28,578.15
2024-12-29,528.71
2024-12-30,483.13
